Filename,Region No.,Frequency of Slice,Flux (Jy),Error (Jy)
slice_0.fits,1,908,0.799687,0.000421035
slice_0.fits,2,908,0.0248289,0.000281641
slice_0.fits,3,908,0.0619031,0.000340969
slice_0.fits,4,908,0.099066,0.000348184
slice_0.fits,5,908,0.027058,0.000400081
slice_1.fits,1,952,0.764383,0.000480432
slice_1.fits,2,952,0.0233,0.000321374
slice_1.fits,3,952,0.0592348,0.000389071
slice_1.fits,4,952,0.0933668,0.000397304
slice_1.fits,5,952,0.0265358,0.000456521
slice_2.fits,1,996,0.749112,0.000368142
slice_2.fits,2,996,0.0234354,0.00024626
slice_2.fits,3,996,0.0578774,0.000298134
slice_2.fits,4,996,0.091444,0.000304443
slice_2.fits,5,996,0.0260839,0.00034982
slice_3.fits,1,1044,0.721346,0.00032641
slice_3.fits,2,1044,0.0227854,0.000218344
slice_3.fits,3,1044,0.0556932,0.000264339
slice_3.fits,4,1044,0.0878053,0.000269932
slice_3.fits,5,1044,0.0258113,0.000310165
slice_4.fits,1,1093,0.688314,0.000306408
slice_4.fits,2,1093,0.0219773,0.000204964
slice_4.fits,3,1093,0.0528117,0.00024814
slice_4.fits,4,1093,0.0830771,0.000253391
slice_4.fits,5,1093,0.0249171,0.000291158
slice_5.fits,1,1145,0.663694,0.000335733
slice_5.fits,2,1145,0.0215647,0.000224581
slice_5.fits,3,1145,0.0512421,0.000271889
slice_5.fits,4,1145,0.0805054,0.000277642
slice_5.fits,5,1145,0.0241954,0.000319024
slice_6.fits,1,1318,0.600424,0.000314776
slice_6.fits,2,1318,0.0197502,0.000210562
slice_6.fits,3,1318,0.0459038,0.000254916
slice_6.fits,4,1318,0.0700763,0.000260311
slice_6.fits,5,1318,0.0237708,0.000299109
slice_7.fits,1,1382,0.579551,0.000271134
slice_7.fits,2,1382,0.0194373,0.000181368
slice_7.fits,3,1382,0.0445834,0.000219574
slice_7.fits,4,1382,0.0672567,0.00022422
slice_7.fits,5,1382,0.0228835,0.00025764
slice_8.fits,1,1448,0.558181,0.000271449
slice_8.fits,2,1448,0.0184756,0.000181579
slice_8.fits,3,1448,0.043492,0.000219829
slice_8.fits,4,1448,0.0652012,0.00022448
slice_8.fits,5,1448,0.0224508,0.000257939
slice_9.fits,1,1482,0.533311,0.000333222
slice_9.fits,2,1482,0.0178461,0.000222901
slice_9.fits,3,1482,0.042607,0.000269855
slice_9.fits,4,1482,0.0624561,0.000275565
slice_9.fits,5,1482,0.0218733,0.000316638
slice_10.fits,1,1592,0.51794,0.00040597
slice_10.fits,2,1592,0.017661,0.000271564
slice_10.fits,3,1592,0.0410685,0.000328769
slice_10.fits,4,1592,0.0609287,0.000335726
slice_10.fits,5,1592,0.021624,0.000385765
slice_11.fits,1,1656,0.509663,0.000324488
slice_11.fits,2,1656,0.0173136,0.000217059
slice_11.fits,3,1656,0.0414062,0.000262782
slice_11.fits,4,1656,0.0618107,0.000268343
slice_11.fits,5,1656,0.0224114,0.000308339
